Station no.	Date	Time	Vmpp	Impp	Pmpp	Voc	Isc	FF	G	Tmodul	G_pyranometer	V Range	I Range	Scan Rate	
			[V]	[A]	[W]	[V]	[A]	[%]	[W/m²]	[°C]	[W/m²]			[S/sec.]	
1	03.10.2016	14:10:00	12,180	0,2318	2,824	16,157	0,3184	54,9	57,6	28,5	61,9	2	0	500
1	03.10.2016	14:20:00	15,189	4,0022	60,788	21,155	4,7590	60,4	829,8	25,8	853,7	2	1	4500
1	03.10.2016	14:25:00	14,774	3,9860	58,892	20,634	4,7976	59,5	834,8	31,1	856,9	2	1	4500
1	03.10.2016	14:30:00	14,485	3,9069	56,593	20,345	4,7055	59,1	818,3	34,6	840,1	2	1	4500
1	03.10.2016	14:35:00	13,911	3,9848	55,432	20,181	4,6685	58,8	809,2	38,5	830,6	2	1	4500
1	03.10.2016	14:40:00	13,924	3,9574	55,102	20,073	4,6700	58,8	807,5	40,0	827,9	2	1	4500
1	03.10.2016	14:45:00	13,962	3,9303	54,875	19,930	4,7253	58,3	816,0	42,5	835,6	2	1	4500
1	03.10.2016	14:50:00	13,692	4,2475	58,159	20,022	4,9964	58,1	859,3	42,9	877,3	2	1	4500
1	03.10.2016	14:55:00	13,689	4,2282	57,881	19,932	5,0498	57,5	865,8	42,2	886,8	2	1	4500
1	03.10.2016	15:00:00	13,667	4,0415	55,234	19,892	4,8065	57,8	822,4	39,6	842,4	2	1	4500
1	03.10.2016	15:05:00	13,378	3,9205	52,448	19,813	4,5815	57,8	785,7	38,2	804,8	2	1	4000
1	03.10.2016	15:10:00	13,744	3,8494	52,905	19,961	4,4793	59,2	767,9	34,8	786,4	2	1	4000
1	03.10.2016	15:15:00	14,579	3,6336	52,973	20,122	4,4298	59,4	757,7	32,0	776,9	2	1	4000
1	03.10.2016	15:20:00	14,492	3,6432	52,796	20,156	4,3872	59,7	752,3	30,3	770,5	2	1	4000
1	03.10.2016	15:25:00	11,823	0,3285	3,884	16,116	0,4278	56,3	78,7	30,2	81,6	2	0	500
1	03.10.2016	15:30:00	14,678	3,6085	52,965	20,587	4,2635	60,3	731,7	30,3	751,0	2	1	4000
1	03.10.2016	15:35:00	14,251	3,6793	52,434	20,370	4,2990	59,9	733,4	33,1	751,9	2	1	4000
1	03.10.2016	15:40:00	13,686	0,7395	10,121	17,802	0,9292	61,2	163,2	32,6	165,5	2	0	1000
1	03.10.2016	15:45:00	13,785	0,4644	6,402	17,937	0,5920	60,3	104,7	26,3	108,2	2	0	1000
1	03.10.2016	15:50:00	13,689	0,3897	5,335	18,273	0,4917	59,4	88,8	22,8	93,2	2	0	500
1	03.10.2016	15:55:00	15,789	2,8078	44,332	21,447	3,2499	63,6	552,5	24,0	584,1	2	0	3000
1	03.10.2016	16:00:00	15,523	3,2629	50,649	21,181	3,8345	62,4	657,3	29,2	676,0	2	1	3500
1	03.10.2016	16:05:00	14,643	0,8826	12,923	18,876	1,0943	62,6	190,3	29,6	256,0	2	0	1500
1	03.10.2016	16:10:00	15,067	0,7334	11,050	19,220	0,9130	63,0	173,2	25,4	258,5	2	0	1500
1	03.10.2016	16:15:00	15,773	2,9735	46,902	21,249	3,5268	62,6	607,5	27,4	629,3	2	1	3500
1	03.10.2016	16:20:00	15,317	1,0682	16,361	19,677	1,3174	63,1	231,3	26,8	237,6	2	0	1500
1	03.10.2016	16:25:00	15,831	2,6192	41,465	20,917	3,1693	62,5	543,1	29,2	559,4	2	0	3000
1	03.10.2016	16:30:00	15,397	2,5713	39,591	20,678	3,0845	62,1	527,7	30,6	542,2	2	0	3000
1	03.10.2016	16:35:00	15,629	2,3991	37,494	20,545	3,0825	59,2	524,1	31,1	539,5	2	0	3000
1	03.10.2016	16:40:00	7,922	1,9923	15,783	19,495	3,0133	26,9	506,3	30,7	521,8	2	0	3000
1	03.10.2016	16:45:00	13,657	0,2058	2,811	18,074	1,1388	13,7	274,0	30,2	453,5	2	0	1500
1	03.10.2016	16:55:00	12,999	0,2064	2,683	17,764	0,2788	54,2	51,3	27,4	55,3	2	0	500
1	03.10.2016	17:00:00	14,007	0,2419	3,388	18,409	0,3265	56,4	59,5	22,3	63,0	2	0	500
1	03.10.2016	17:05:00	13,763	0,2485	3,420	18,562	0,3267	56,4	59,7	19,9	63,7	2	0	500
1	03.10.2016	17:10:00	14,900	0,3545	5,282	19,332	0,4574	59,7	81,4	18,9	86,2	2	0	500
1	03.10.2016	17:15:00	15,362	0,4180	6,422	19,618	0,5339	61,3	91,5	19,2	94,3	2	0	500
1	03.10.2016	17:20:00	16,123	0,6156	9,926	20,208	0,7757	63,3	133,4	19,9	135,1	2	0	1000
1	03.10.2016	17:25:00	15,099	0,4279	6,460	19,487	0,5440	60,9	92,3	20,4	93,0	2	0	500
1	03.10.2016	17:30:00	13,850	0,2418	3,348	18,543	0,3219	56,1	57,6	19,9	60,1	2	0	500
1	03.10.2016	18:20:00	14,688	0,2466	3,621	19,108	0,3333	56,9	111,3	15,7	110,0	2	0	1000
1	03.10.2016	18:25:00	14,373	0,2841	4,083	19,287	0,3654	57,9	57,5	16,9	57,4	2	0	500
1	03.10.2016	18:30:00	13,879	0,2089	2,899	18,861	0,3208	47,9	59,0	16,5	60,1	2	0	500
1	04.10.2016	09:15:00	14,617	0,3091	4,518	19,254	0,3952	59,4	68,5	13,8	69,6	2	0	500
1	04.10.2016	09:20:00	15,722	0,4805	7,554	19,940	0,6014	63,0	104,7	14,2	107,9	2	0	1000
1	04.10.2016	09:25:00	15,073	0,4907	7,396	19,869	0,5961	62,4	103,6	14,6	109,1	2	0	1000
1	04.10.2016	09:30:00	15,661	0,4680	7,329	19,853	0,5868	62,9	101,4	14,4	105,4	2	0	1000
1	04.10.2016	09:35:00	15,625	0,4765	7,446	19,819	0,5976	62,9	106,5	15,0	114,3	2	0	1000
1	04.10.2016	09:40:00	16,566	1,2739	21,103	21,113	1,5197	65,8	274,5	16,4	267,6	2	0	1500
1	04.10.2016	09:45:00	15,648	0,7654	11,977	20,165	0,9213	64,5	171,1	17,8	171,2	2	0	1000
1	04.10.2016	09:50:00	16,345	1,6848	27,537	21,304	1,9854	65,1	359,3	17,9	346,9	2	0	2000
1	04.10.2016	09:55:00	15,934	0,6522	10,392	19,859	0,8177	64,0	147,0	18,0	183,4	2	0	1000
1	04.10.2016	10:00:00	15,738	1,7680	27,824	21,231	2,0376	64,3	374,3	17,9	334,7	2	0	2000
1	04.10.2016	10:05:00	16,457	1,9295	31,754	21,291	2,3297	64,0	425,3	18,9	446,7	2	0	2500
1	04.10.2016	10:10:00	16,062	2,0760	33,344	21,274	2,4066	65,1	439,8	20,0	461,9	2	0	2500
1	04.10.2016	10:15:00	15,124	0,6863	10,380	19,445	0,8391	63,6	160,7	20,9	128,1	2	0	1000
1	04.10.2016	10:20:00	15,600	2,4226	37,792	21,199	2,7811	64,1	507,9	22,4	528,6	2	0	3000
1	04.10.2016	10:25:00	16,261	2,2558	36,682	21,088	2,7138	64,1	495,2	21,9	498,6	2	0	2500
1	04.10.2016	10:30:00	15,738	2,4208	38,098	21,155	2,8100	64,1	513,0	20,8	534,5	2	0	3000
1	04.10.2016	10:35:00	15,921	2,5072	39,917	21,111	2,9451	64,2	537,1	22,2	558,0	2	0	3000
1	04.10.2016	10:40:00	15,757	2,4107	37,986	20,982	2,8212	64,2	521,4	22,7	532,9	2	0	2500
1	04.10.2016	10:45:00	15,619	2,7057	42,260	21,210	3,2068	62,1	583,7	22,4	604,1	2	1	3000
1	04.10.2016	10:50:00	15,002	1,0563	15,846	19,599	1,4247	56,8	265,9	24,5	203,4	2	0	1500
1	04.10.2016	10:55:00	15,308	2,8802	44,088	21,077	3,3792	61,9	613,7	23,6	635,6	2	1	3500
1	04.10.2016	11:00:00	15,019	3,1747	47,679	21,093	3,6856	61,3	669,0	25,1	694,3	2	1	3500
1	04.10.2016	11:05:00	14,839	3,4215	50,771	21,020	3,9853	60,6	724,8	26,6	736,3	2	1	4000
1	04.10.2016	11:10:00	14,466	1,1225	16,238	19,257	1,3310	63,4	240,5	26,5	237,2	2	0	1500
1	04.10.2016	11:15:00	15,385	1,5492	23,834	20,149	1,8751	63,1	325,1	24,0	504,3	2	0	2000
1	04.10.2016	11:20:00	15,320	1,3610	20,850	20,201	1,6211	63,7	293,3	22,3	322,0	2	0	1500
1	04.10.2016	11:25:00	16,008	3,5869	57,418	21,653	4,3155	61,4	773,4	23,0	792,5	2	1	4000
1	04.10.2016	11:30:00	15,263	1,4422	22,011	20,499	1,6904	63,5	297,9	21,1	317,7	2	0	2000
1	04.10.2016	11:35:00	15,433	4,1136	63,484	21,826	4,8013	60,6	854,6	22,4	887,1	2	1	4500
1	04.10.2016	11:40:00	15,211	3,1810	48,387	21,249	3,7491	60,7	662,9	23,0	609,3	2	1	3500
1	04.10.2016	11:46:00	15,468	3,3675	52,088	21,240	4,0090	61,2	719,0	24,2	742,6	2	1	4000
1	04.10.2016	11:48:00	14,932	3,5676	53,271	21,165	4,1594	60,5	747,4	25,4	771,9	2	1	4000
1	04.10.2016	11:50:00	15,458	2,1954	33,938	20,495	2,6795	61,8	542,4	24,3	533,3	2	0	2500
1	04.10.2016	11:52:00	14,662	3,5334	51,807	21,130	4,0967	59,8	737,4	24,1	761,5	2	1	4000
1	04.10.2016	11:54:00	14,742	3,5268	51,994	21,043	4,1072	60,2	738,1	24,7	764,6	2	1	4000
1	04.10.2016	11:56:00	14,367	3,6058	51,803	20,927	4,1324	59,9	742,6	26,0	769,6	2	1	4000
1	04.10.2016	11:58:00	14,524	3,6075	52,395	20,871	4,1919	59,9	754,3	26,4	778,7	2	1	4000
1	04.10.2016	12:00:00	14,579	3,6173	52,734	20,842	4,2429	59,6	763,1	26,3	791,2	2	1	4000
1	04.10.2016	12:02:00	15,028	3,4635	52,050	20,781	4,2173	59,4	757,7	27,0	784,8	2	1	4000
1	04.10.2016	12:04:00	14,463	3,5591	51,475	20,678	4,1845	59,5	753,8	27,3	782,5	2	1	4000
1	04.10.2016	12:06:00	14,595	3,7216	54,316	20,765	4,3966	59,5	791,3	27,8	817,7	2	1	4000
1	04.10.2016	12:08:00	15,263	3,4542	52,721	20,643	4,2887	59,5	770,7	28,3	799,1	2	1	4000
1	04.10.2016	12:10:00	14,704	3,5576	52,311	20,627	4,2783	59,3	770,1	27,8	793,7	2	1	4000
1	04.10.2016	12:12:00	14,967	3,5781	53,555	20,687	4,3683	59,3	787,4	27,3	812,9	2	1	4000
1	04.10.2016	12:14:00	14,861	3,5606	52,914	20,616	4,3112	59,5	776,4	27,4	803,2	2	1	4000
1	04.10.2016	12:16:00	14,396	3,6901	53,121	20,669	4,3698	58,8	783,9	28,3	811,8	2	1	4000
1	04.10.2016	12:18:00	14,925	3,6901	55,076	20,661	4,4952	59,3	808,3	28,0	835,8	2	1	4500
1	04.10.2016	12:20:00	14,585	3,6725	53,563	20,538	4,4149	59,1	793,7	28,7	820,6	2	1	4000
1	04.10.2016	12:22:00	14,485	3,7837	54,808	20,637	4,5276	58,7	810,6	28,7	836,5	2	1	4500
1	04.10.2016	12:24:00	14,200	3,9179	55,632	20,665	4,5967	58,6	826,1	27,8	854,9	2	1	4500
1	04.10.2016	12:26:00	14,762	3,7832	55,846	20,540	4,6298	58,7	832,0	28,4	860,3	2	1	4500
1	04.10.2016	12:28:00	14,749	4,1757	61,586	20,571	4,9512	60,5	884,1	28,4	912,7	2	1	4500
1	04.10.2016	12:30:00	14,691	4,5765	67,233	20,659	5,4276	60,0	971,4	29,1	1000,2	2	1	5000
1	04.10.2016	12:35:00	14,800	4,0305	59,652	20,547	4,8146	60,3	859,1	29,1	866,7	2	1	4500
1	04.10.2016	12:40:00	14,765	3,7553	55,447	20,540	4,4604	60,5	802,3	30,4	827,4	2	1	4000
1	04.10.2016	12:45:00	14,768	1,8983	28,035	19,965	2,2124	63,5	388,8	24,7	573,9	2	0	2500
1	04.10.2016	12:50:00	15,295	0,9311	14,241	19,206	1,1619	63,8	204,7	23,7	212,5	2	0	1500
1	04.10.2016	12:55:00	15,754	1,4506	22,853	20,172	1,7450	64,9	308,2	23,0	322,9	2	0	2000
1	04.10.2016	13:00:00	15,921	4,0848	65,033	21,690	4,7978	62,5	846,6	23,6	916,3	2	1	4500
1	04.10.2016	13:05:00	14,880	0,9059	13,480	19,675	1,0731	63,8	190,6	21,9	200,5	2	0	1000
1	04.10.2016	13:10:00	15,972	1,6447	26,269	20,693	1,9289	65,8	353,6	21,3	460,5	2	0	2000
1	04.10.2016	13:15:00	16,457	4,2053	69,206	22,201	4,9442	63,0	889,3	21,7	651,0	2	1	4500
1	04.10.2016	13:20:00	15,420	0,8220	12,675	19,732	0,9977	64,4	173,5	21,3	179,1	2	0	1000
1	04.10.2016	13:25:00	15,789	0,7543	11,909	19,940	0,9318	64,1	165,3	20,2	172,8	2	0	1000
1	04.10.2016	13:30:00	15,478	1,7816	27,575	20,266	2,1247	64,0	366,2	24,5	473,2	2	0	2500
1	04.10.2016	13:35:00	15,465	4,8556	75,091	21,687	5,7101	60,6	998,6	25,4	1032,0	2	1	5000
1	04.10.2016	13:40:00	15,285	0,9549	14,596	19,651	1,1535	64,4	205,0	22,7	207,7	2	0	1500
1	04.10.2016	13:41:00	16,187	4,3678	70,703	21,945	5,1826	62,2	903,7	22,4	948,5	2	1	5000
1	04.10.2016	13:42:00	15,738	4,3629	68,662	21,849	5,0803	61,9	880,7	23,0	897,7	2	1	4500
1	04.10.2016	13:43:00	16,065	2,5288	40,627	20,986	3,0760	62,9	539,7	23,5	677,8	2	0	3000
